source_id,number,ocel timestamp,ocel activity,weight,price,weight_y,price_y
1.0,['990001'],2019-05-20 09:07:47,place order,,,3.52,524.96
2.0,['990002'],2019-05-20 10:35:21,place order,,,2.656,3255.99
3.0,['990002'],2019-05-20 10:38:17,pick item,,,0.483,79.99
4.0,['990001'],2019-05-20 11:13:54,confirm order,,,3.52,524.96
5.0,['990001'],2019-05-20 11:20:13,pick item,,,0.28,89.99
6.0,['990003'],2019-05-20 12:30:30,place order,,,0.994,2468.99
7.0,['990003'],2019-05-20 12:34:16,confirm order,,,0.994,2468.99
8.0,['990001'],2019-05-20 13:54:37,item out of stock,,,1.48,199.99
9.0,['990004'],2019-05-20 14:20:47,place order,,,2.46,334.98
10.0,['990003'],2019-05-20 15:19:49,item out of stock,,,0.44,476.0
11.0,['990005'],2019-05-20 16:01:22,place order,,,0.923,1580.0
12.0,['990004'],2019-05-20 16:56:02,pick item,,,0.98,129.99
13.0,['990002'],2019-05-20 17:08:25,pick item,,,1.25,2200.0
14.0,['990006'],2019-05-20 17:22:31,place order,,,1.432,923.98
15.0,['990003'],2019-05-20 17:51:15,pick item,,,0.2,39.99
16.0,['990002'],2019-05-20 18:15:00,pick item,,,0.44,476.0
17.0,['990004'],2019-05-20 18:36:37,confirm order,,,2.46,334.98
18.0,['990007'],2019-05-20 19:04:49,place order,,,1.855,293.98
19.0,['990008'],2019-05-20 21:49:13,place order,,,3.755,1428.97
20.0,['990009'],2019-05-21 07:13:12,place order,,,3.013,1370.98
21.0,['990009'],2019-05-21 08:23:42,pick item,,,0.483,79.99
22.0,['990006'],2019-05-21 08:55:41,pick item,,,0.172,699.0
23.0,['990009'],2019-05-21 09:14:32,item out of stock,,,0.495,129.0
24.0,['990003'],2019-05-21 09:43:01,pick item,,,0.166,799.0
25.0,['990010'],2019-05-21 09:58:19,place order,,,0.978,213.99
26.0,['990001'],2019-05-21 10:03:49,reorder item,,,1.48,199.99
27.0,['990005'],2019-05-21 10:34:23,confirm order,,,0.923,1580.0
28.0,['990003'],2019-05-21 10:41:07,pay order,,,0.994,2468.99
29.0,['990007'],2019-05-21 10:49:44,pick item,,,0.495,129.0
30.0,['990006'],2019-05-21 12:15:15,pick item,,,0.98,129.99
31.0,['990011'],2019-05-21 12:16:25,place order,,,1.942,1472.98
32.0,['990002'],2019-05-21 12:19:16,confirm order,,,2.656,3255.99
33.0,['990002'],2019-05-21 12:35:03,pick item,,,0.483,495.0
34.0,['990004'],2019-05-21 12:39:01,pick item,,,1.48,199.99
35.0,['990010'],2019-05-21 12:47:10,pick item,,,0.483,79.99
36.0,['990011'],2019-05-21 12:55:17,confirm order,,,1.942,1472.98
37.0,['990010'],2019-05-21 12:57:36,item out of stock,,,0.495,129.0
38.0,['990009'],2019-05-21 13:40:12,confirm order,,,3.013,1370.98
39.0,['990008'],2019-05-21 13:42:40,pick item,,,0.495,129.0
40.0,['990012'],2019-05-21 13:52:38,place order,,,3.237,2761.99
41.0,['990009'],2019-05-21 14:14:14,pick item,,,0.28,449.0
42.0,['990007'],2019-05-21 14:33:48,confirm order,,,1.855,293.98
43.0,['990006'],2019-05-21 14:55:05,confirm order,,,1.432,923.98
44.0,['990008'],2019-05-21 14:56:24,pick item,,,1.28,149.99
45.0,['990003'],2019-05-21 14:58:29,pick item,,,0.188,1149.0
46.0,['990008'],2019-05-21 15:02:54,pick item,,,0.98,129.99
47.0,['990008'],2019-05-21 15:26:17,pick item,,,0.28,449.0
48.0,['990009'],2019-05-21 15:32:29,pick item,,,0.28,449.0
49.0,['990008'],2019-05-21 15:51:03,item out of stock,,,0.28,89.99
50.0,['990013'],2019-05-21 16:05:03,place order,,,3.194,3127.97
51.0,['990012'],2019-05-21 16:44:36,confirm order,,,3.237,2761.99
52.0,['990008'],2019-05-21 16:51:49,reorder item,,,0.28,89.99
53.0,['990007'],2019-05-21 17:02:33,pick item,,,0.98,129.99
54.0,['990013'],2019-05-21 17:15:32,pick item,,,0.483,1099.0
55.0,['990014'],2019-05-21 17:29:53,place order,,,3.696,3239.97
56.0,['990012'],2019-05-21 19:19:13,item out of stock,,,0.495,129.0
57.0,['990015'],2019-05-21 19:19:34,place order,,,4.095,5989.98
58.0,['990015'],2019-05-21 20:34:29,pick item,,,0.172,699.0
59.0,['990010'],2019-05-21 21:10:10,confirm order,,,0.978,213.99
60.0,['990013'],2019-05-21 21:40:22,confirm order,,,3.194,3127.97
61.0,['990016'],2019-05-21 22:18:43,place order,,,1.081,2217.99
62.0,['990017'],2019-05-22 08:29:00,place order,,,1.919,1646.99
63.0,['990013'],2019-05-22 09:29:44,item out of stock,,,0.188,1149.0
64.0,['990013'],2019-05-22 09:31:49,item out of stock,,,1.48,199.99
65.0,['990013'],2019-05-22 09:37:12,pick item,,,0.28,89.99
66.0,['990009'],2019-05-22 09:49:11,pick item,,,0.495,129.0
67.0,['990006'],2019-05-22 10:17:48,pick item,,,0.28,89.99
68.0,['990017'],2019-05-22 10:21:25,confirm order,,,1.919,1646.99
69.0,['990014'],2019-05-22 10:22:31,item out of stock,,,0.38,29.99
70.0,['990018'],2019-05-22 10:33:18,place order,,,1.97,823.98
71.0,['990008'],2019-05-22 10:34:00,confirm order,,,3.755,1428.97
72.0,['990014'],2019-05-22 10:52:34,pick item,,,0.483,495.0
73.0,['990012'],2019-05-22 11:00:23,pick item,,,0.44,476.0
74.0,['990017'],2019-05-22 11:06:36,pick item,,,0.483,495.0
75.0,['990014'],2019-05-22 11:13:31,pick item,,,0.98,129.99
76.0,['990016'],2019-05-22 11:14:47,item out of stock,,,0.483,495.0
77.0,['990005'],2019-05-22 11:18:26,pick item,,,0.483,1099.0
78.0,['990017'],2019-05-22 11:34:42,pick item,,,0.495,129.0
79.0,['990012'],2019-05-22 11:36:46,pick item,,,0.172,699.0
80.0,['990018'],2019-05-22 11:39:24,item out of stock,,,0.21,529.0
81.0,['990016'],2019-05-22 11:45:06,pick item,,,0.2,39.99
82.0,['990012'],2019-05-22 11:47:12,pick item,,,0.98,129.99
83.0,['990019'],2019-05-22 12:26:23,place order,,,0.446,893.99
84.0,['990015'],2019-05-22 12:40:14,confirm order,,,4.095,5989.98
85.0,['990008'],2019-05-22 13:31:24,pay order,,,3.755,1428.97
86.0,['990018'],2019-05-22 13:53:26,pick item,,,0.28,89.99
87.0,['990020'],2019-05-22 14:12:34,place order,,,3.48,4534.99
88.0,['990011'],2019-05-22 14:18:39,pick item,,,0.172,699.0
89.0,['990014'],2019-05-22 14:29:53,reorder item,,,0.38,29.99
90.0,['990018'],2019-05-22 14:44:07,confirm order,,,1.97,823.98
91.0,['990002'],2019-05-22 14:47:40,pay order,,,2.656,3255.99
92.0,['990005'],2019-05-22 15:24:59,pick item,,,0.44,476.0
93.0,['990019'],2019-05-22 15:42:38,confirm order,,,0.446,893.99
94.0,['990016'],2019-05-22 15:44:52,reorder item,,,0.483,495.0
95.0,['990021'],2019-05-22 15:44:55,place order,,,2.651,2535.99
96.0,['990013'],2019-05-22 16:07:56,pick item,,,0.28,89.99
97.0,['990017'],2019-05-22 16:14:21,pick item,,,0.495,129.0
98.0,['990003'],2019-05-22 16:52:23,reorder item,,,0.44,476.0
99.0,['990015'],2019-05-22 16:54:39,pick item,,,1.25,2200.0
100.0,['990008'],2019-05-22 17:13:56,pick item,,,0.44,476.0
101.0,['990016'],2019-05-22 17:19:25,pick item,,,0.21,529.0
102.0,['990010'],2019-05-22 17:33:36,reorder item,,,0.495,129.0
